phoneme,start,end
t,259.76,259.83
f,259.88,260.03
er,260.03,260.16
m,260.17,260.28
iy,260.28,260.47
ay,260.53,260.73
s,260.73,260.88
w,260.88,260.8
ih,260.8,260.95
ch,260.95,261.21
b,261.57,261.63
ih,261.63,261.63
t,261.63,261.71
w,261.71,261.68
iy,261.68,261.77
n,261.77,261.98
l,262.15,262.23
uh,262.23,262.19
k,262.19,262.27
ih,262.27,262.23
ng,262.23,262.26
ae,262.38,262.45
t,262.45,262.49
dh,262.49,262.52
ah,262.52,262.56
l,262.559999,262.61
ih,262.61,262.61
p,262.61,262.69
s,262.69,262.74
ah,262.82,262.89
n,262.89,262.93
d,262.93,262.99
ah,263.11,263.19
dh,263.19,263.2
er,263.2,263.36
p,263.71,263.8
aa,263.8,263.79
r,263.79,263.83
t,263.83,263.82
s,263.82,263.85
ah,264.0,264.15
v,264.15,264.25
dh,264.259999,264.37
iy,264.37,264.5
p,264.5,264.6
er,264.6,264.6
s,264.6,264.67
ah,264.67,264.65
n,264.65,264.72
z,264.72,264.81
f,264.99,265.09
ey,265.09,265.09
s,265.09,265.16
b,265.259999,265.31
ih,265.31,265.33
k,265.33,265.43
ao,265.43,265.45
z,265.45,265.55
s,266.38,266.52
ah,266.52,266.44
m,266.44,266.47
p,266.61,266.65
iy,266.65,266.66
p,266.66,266.66
ah,266.66,266.68
l,266.68,266.69
hh,266.77,266.85
ae,266.85,266.81
v,266.81,266.88
dh,266.96,266.97
ae,266.97,267.04
t,267.04,267.18
p,267.25,267.34
er,267.34,267.32
ih,267.32,267.41
f,267.41,267.39
er,267.39,267.42
ah,267.42,267.4
l,267.4,267.65
v,267.889999,268.04
ih,268.04,267.96
zh,267.96,268.11
ah,268.11,268.04
n,268.04,268.14
w,268.359999,268.43
eh,268.43,268.43
r,268.43,268.48
y,268.549999,268.59
uw,268.59,268.69
s,269.24,269.48
iy,269.48,269.63
y,269.629999,269.73
uh,269.73,269.69
r,269.69,269.76
l,269.859999,269.94
ih,269.94,269.92
p,269.92,270.06
w,270.33,270.49
ay,270.49,270.45
l,270.45,270.51
l,270.7,270.76
uh,270.76,270.76
k,270.76,270.8
ih,270.8,270.8
ng,270.8,270.83
ae,270.93,271.01
t,271.01,271.09
dh,271.09,271.14
ae,271.14,271.15
t,271.15,271.25
p,271.41,271.49
er,271.49,271.49
s,271.49,271.56
ah,271.56,271.54
n,271.54,271.65
z,271.65,271.91
ay,272.2,272.51
z,272.51,272.64
ah,273.11,273.24
n,273.24,273.28
d,273.28,273.4
y,273.98,274.06
uh,274.06,274.04
r,274.04,274.11
ay,274.21,274.38
z,274.38,274.43
k,274.44,274.5
ah,274.5,274.51
n,274.51,274.72
s,275.97,276.13
ey,276.13,276.21
ah,276.21,276.27
l,276.27,276.32
ao,276.32,276.33
t,276.33,276.34
ah,276.39,276.4
v,276.4,276.48
th,276.51,276.59
ih,276.59,276.56
ng,276.56,276.64
z,276.64,276.65
ae,276.73,276.8
z,276.8,276.88
w,276.88,276.96
eh,276.96,276.97
l,276.97,277.1
b,277.23,277.32
ah,277.32,277.29
t,277.29,277.49
dh,277.68,277.75
ah,277.75,277.79
w,277.79,277.88
ey,277.88,277.97
ay,277.97,278.09
d,278.12,278.18
uw,278.18,278.28
ay,278.53,278.61
d,278.62,278.68
ow,278.68,278.68
n,278.68,278.77
jh,278.83,278.88
ah,278.88,278.89
s,278.89,278.95
t,278.95,279.01
ow,279.139999,279.34
n,279.34,279.22
l,279.22,279.41
iy,279.41,279.54
s,279.66,279.97
t,279.97,279.74
eh,279.74,280.06
r,280.06,280.12
ae,280.24,280.33
t,280.33,280.39
dh,280.389999,280.43
ah,280.43,280.48
l,280.48,280.52
ih,280.52,280.53
p,280.53,280.54
s,280.54,280.59
ay,280.679999,280.84
g,280.84,280.94
ow,280.94,281.01
ah,281.01,281.07
p,281.07,281.14
ae,281.139999,281.19
n,281.19,281.15
d,281.15,281.23
d,281.28,281.34
aw,281.34,281.46
n,281.46,281.55
ay,281.63,281.74
l,281.759999,281.84
uh,281.84,281.81
k,281.81,281.87
ae,281.95,282.01
t,282.01,282.11
dh,282.11,282.13
eh,282.13,282.19
r,282.19,282.26
f,282.28,282.42
ey,282.42,282.37
s,282.37,282.53
ih,282.53,282.45
z,282.45,282.52
dh,282.929999,282.99
eh,282.99,282.98
r,282.98,283.02
f,283.08,283.18
ey,283.18,283.12
sh,283.12,283.24
ah,283.24,283.17
l,283.17,283.22
ih,283.38,283.41
k,283.41,283.42
s,283.42,283.48
p,283.48,283.47
r,283.47,283.52
eh,283.52,283.5
sh,283.5,283.6
ah,283.6,283.55
n,283.55,283.63
z,283.63,283.64
ao,283.84,283.94
r,283.94,283.98
l,283.99,284.05
ih,284.05,284.08
s,284.08,284.12
ah,284.12,284.16
n,284.16,284.29
b,284.45,284.55
ah,284.55,284.52
t,284.52,284.61
ih,285.219999,285.33
t,285.33,285.29
s,285.29,285.37
ao,285.839999,285.97
l,285.97,285.96
s,285.96,286.07
ow,286.07,286.37
s,286.52,286.6
ah,286.6,286.57
m,286.57,286.65
th,286.65,286.63
ih,286.63,286.66
ng,286.66,286.73
dh,286.84,286.89
ae,286.89,286.93
t,286.93,287.06
y,287.23,287.33
uw,287.33,287.41
k,287.41,287.45
ah,287.45,287.47
n,287.47,287.61
s,287.66,287.81
iy,287.81,288.02
ao,288.039999,288.14
l,288.14,288.12
m,288.12,288.2
ow,288.2,288.16
s,288.16,288.28
t,288.28,288.34
k,288.799999,288.92
ao,288.92,288.88
r,288.88,288.98
n,288.98,288.9
er,288.9,288.97
ah,289.15,289.18
v,289.18,289.28
y,289.28,289.29
uh,289.29,289.33
r,289.33,289.38
ay,289.46,289.76
z,289.76,289.87
w,290.24,290.41
ay,290.41,290.33
l,290.33,290.37
y,290.54,290.63
uh,290.63,290.63
r,290.63,290.7
l,290.79,290.85
uh,290.85,290.85
k,290.85,290.88
ih,290.88,290.9
ng,290.9,290.99
ae,291.12,291.25
t,291.25,291.33
s,291.35,291.43
ah,291.43,291.4
m,291.4,291.48
th,291.48,291.46
ih,291.46,291.49
ng,291.49,291.56
eh,291.71,291.78
l,291.78,291.79
s,291.79,291.91
ao,292.47,292.55
n,292.55,292.62
dh,292.62,292.66
ae,292.66,292.65
t,292.65,292.72
p,292.76,292.82
er,292.82,292.82
s,292.82,292.83
ah,292.83,292.83
n,292.83,292.84
z,292.84,292.85
f,293.1,293.2
ey,293.2,293.18
s,293.18,293.22
s,293.33,293.41
ow,293.41,293.55
l,294.08,294.19
ih,294.19,294.14
p,294.14,294.21
r,294.32,294.4
iy,294.4,294.36
d,294.36,294.41
ih,294.41,294.37
ng,294.37,294.51
ih,294.62,294.73
z,294.73,294.82
k,295.07,295.2
er,295.2,295.17
eh,295.17,295.26
k,295.26,295.22
t,295.22,295.27
ih,295.47,295.55
n,295.55,295.6
dh,295.6,295.64
ae,295.64,295.63
t,295.63,295.71
t,295.75,295.84
er,295.84,295.87
m,295.87,295.95
b,296.04,296.09
ah,296.09,296.11
t,296.11,296.16
n,296.41,296.55
aa,296.55,296.49
t,296.49,296.56
ao,296.95,297.06
l,297.06,296.99
w,296.99,297.14
iy,297.14,297.02
z,297.02,297.09
k,297.28,297.38
er,297.38,297.35
eh,297.35,297.45
k,297.45,297.39
t,297.39,297.4
b,297.57,297.62
ih,297.62,297.61
k,297.61,297.69
ao,297.69,297.68
z,297.68,297.75
ay,298.13,298.26
d,298.26,298.33
ow,298.33,298.32
n,298.32,298.38
t,298.38,298.43
jh,298.5,298.56
ah,298.56,298.57
s,298.57,298.64
t,298.64,298.65
s,298.809999,298.95
t,298.95,298.89
eh,298.89,299.03
r,299.03,299.1
ae,299.219999,299.3
t,299.3,299.36
dh,299.36,299.4
ah,299.4,299.47
l,299.469999,299.53
ih,299.53,299.52
p,299.52,299.6
s,299.6,299.67
b,299.759999,299.84
ah,299.84,299.82
t,299.82,299.89
ah,300.19,300.26
g,300.26,300.27
eh,300.27,300.31
n,300.31,300.39
ih,300.52,300.59
t,300.59,300.54
s,300.54,300.55
d,300.65,300.71
ih,300.71,300.73
f,300.73,300.78
r,300.78,300.74
ah,300.74,300.81
n,300.81,300.79
t,300.79,300.82
f,300.99,301.05
ao,301.05,301.02
r,301.02,301.08
ah,301.219999,301.31
dh,301.31,301.28
er,301.28,301.33
p,301.42,301.48
iy,301.48,301.49
p,301.49,301.56
ah,301.56,301.53
l,301.53,301.76
r,302.12,302.21
ah,302.21,302.21
g,302.21,302.27
aa,302.27,302.29
r,302.29,302.32
d,302.32,302.32
l,302.32,302.4
ah,302.4,302.35
s,302.35,302.41
ah,302.69,302.75
v,302.75,302.83
ao,302.839999,303.06
l,303.06,303.18
dh,303.179999,303.25
ae,303.25,303.3
t,303.3,303.37
w,303.469999,303.67
ah,303.67,303.55
n,303.55,303.61
th,303.809999,303.85
ih,303.85,303.9
ng,303.9,303.95
dh,303.99,304.06
ae,304.06,304.08
t,304.08,304.13
ay,304.23,304.36
sh,304.359999,304.44
uh,304.44,304.42
d,304.42,304.5
ao,304.58,304.64
l,304.64,304.66
s,304.66,304.73
ow,304.73,304.83
s,304.91,305.05
ey,305.05,305.22
ah,305.25,305.32
n,305.32,305.29
d,305.29,305.3
ih,305.369999,305.41
t,305.41,305.38
s,305.38,305.47
k,305.549999,305.67
ay,305.67,305.64
n,305.64,305.68
d,305.68,305.73
ah,305.82,305.87
v,305.87,305.93
ah,305.949999,306.01
n,306.01,306.07
oy,306.07,306.1
ih,306.1,306.1
ng,306.1,306.14
w,306.289999,306.34
ih,306.34,306.31
n,306.31,306.32
th,306.889999,307.0
ih,307.0,306.91
ng,306.91,307.07
k,307.07,307.11
dh,307.13,307.2
ae,307.2,307.22
t,307.22,307.34
ih,307.7,307.77
t,307.77,307.75
s,307.75,307.8
t,307.92,308.04
r,308.04,308.02
uw,308.02,308.14
ih,308.37,308.47
t,308.47,308.44
s,308.44,308.46
n,308.61,308.75
aa,308.75,308.74
t,308.74,308.81
ey,309.03,309.16
t,309.16,309.28
r,309.28,309.27
ih,309.27,309.36
k,309.36,309.54
ih,309.77,309.87
t,309.87,309.83
s,309.83,309.88
n,309.98,309.99
aa,309.99,309.99
t,309.99,310.0
ey,310.24,310.36
s,310.36,310.53
uw,310.53,310.44
p,310.44,310.59
er,310.59,310.49
hh,310.49,310.65
iy,310.65,310.53
r,310.53,310.74
ow,310.74,310.78
t,310.95,311.04
r,311.04,311.02
ih,311.02,311.1
k,311.1,311.21
ih,311.51,311.62
t,311.62,311.58
s,311.58,311.66
n,311.77,311.8
aa,311.8,311.85
t,311.85,311.92
s,311.95,311.99
ah,311.99,312.01
m,312.01,312.04
th,312.04,312.08
ih,312.08,312.06
ng,312.06,312.13
dh,312.27,312.34
ae,312.34,312.35
t,312.35,312.44
ay,312.76,312.93
k,312.93,313.01
ah,313.01,313.03
n,313.03,313.22
s,313.46,313.64
iy,313.64,313.74
f,313.74,313.78
r,313.78,313.78
ah,313.78,313.8
m,313.8,313.99
f,314.099999,314.21
aa,314.21,314.18
r,314.18,314.26
ah,314.37,314.4
w,314.4,314.48
ey,314.48,314.73
p,314.88,314.94
iy,314.94,314.92
p,314.92,314.99
ah,314.99,314.94
l,314.94,314.99
th,315.12,315.19
ih,315.19,315.14
ng,315.14,315.25
k,315.25,315.26
dh,315.3,315.37
ae,315.37,315.35
t,315.35,315.43
ay,315.5,315.59
k,315.59,315.65
ah,315.65,315.65
n,315.65,315.75
r,315.809999,315.89
iy,315.89,315.87
d,315.87,315.95
ah,316.059999,316.16
dh,316.16,316.12
er,316.12,316.17
p,316.27,316.31
iy,316.31,316.33
p,316.33,316.36
ah,316.36,316.38
l,316.38,316.41
z,316.41,316.49
l,316.599999,316.67
ih,316.67,316.66
p,316.66,316.74
s,316.74,316.77
f,316.849999,316.94
er,316.94,316.92
m,316.92,317.08
ah,317.21,317.28
k,317.28,317.3
r,317.3,317.3
ao,317.3,317.39
s,317.39,317.45
dh,317.54,317.6
ah,317.6,317.68
r,317.679999,317.73
uw,317.73,317.74
m,317.74,317.88
n,318.29,318.48
ow,318.48,318.64
n,319.16,319.32
ow,319.32,319.44
dh,319.77,319.85
ae,319.85,319.82
t,319.82,319.88
s,319.88,319.89
n,319.99,320.04
aa,320.04,320.04
t,320.04,320.07
hh,320.12,320.17
aw,320.17,320.26
ih,320.259999,320.27
t,320.27,320.29
w,320.29,320.38
er,320.38,320.37
k,320.37,320.39
s,320.39,320.4
ih,320.54,320.61
t,320.61,320.68
d,320.679999,320.74
ah,320.74,320.73
z,320.73,320.78
ah,320.78,320.75
n,320.75,320.83
w,320.929999,320.98
er,320.98,320.98
k,320.98,321.04
l,321.089999,321.16
ay,321.16,321.12
k,321.12,321.16
s,321.78,321.89
ow,321.89,322.11
jh,322.68,322.73
ah,322.73,322.76
s,322.76,322.8
t,322.8,322.81
b,323.32,323.41
eh,323.41,323.37
r,323.37,323.44
dh,323.529999,323.58
ae,323.58,323.58
t,323.58,323.62
ih,323.67,323.71
n,323.71,323.74
m,323.74,323.82
ay,323.82,323.84
n,323.84,323.84
d,323.84,323.89
ih,324.0,324.1
t,324.1,324.06
s,324.06,324.16
n,324.26,324.29
aa,324.29,324.37
t,324.37,324.42
ey,324.5,324.79
t,325.16,325.26
r,325.26,325.24
ih,325.24,325.35
k,325.35,325.49
ao,325.61,325.73
r,325.73,325.8
p,325.8,325.91
aa,325.91,325.89
r,325.89,325.98
t,325.98,325.98
iy,325.98,326.05
t,326.23,326.3
r,326.3,326.29
ih,326.29,326.36
k,326.36,326.53
b,327.16,327.25
ah,327.25,327.21
t,327.21,327.28
l,327.37,327.43
ay,327.43,327.44
k,327.44,327.51
ay,327.57,327.64
s,327.64,327.7
eh,327.7,327.71
d,327.71,327.8
ih,327.9,327.96
t,327.96,327.97
s,327.97,328.05
p,328.11,328.19
aa,328.19,328.19
r,328.19,328.23
t,328.23,328.27
ah,328.35,328.43
v,328.43,328.5
m,328.51,328.61
eh,328.61,328.58
n,328.58,328.68
iy,328.68,328.78
k,328.85,328.99
l,328.99,328.94
uw,328.94,329.07
z,329.07,329.16
ah,329.3,329.38
n,329.38,329.35
d,329.35,329.36
ih,329.44,329.5
t,329.5,329.49
s,329.49,329.56
n,329.63,329.78
aa,329.78,329.76
t,329.76,329.88
s,331.15,331.23
ah,331.23,331.2
l,331.2,331.31
uw,331.31,331.27
sh,331.27,331.4
ah,331.4,331.34
n,331.34,331.43
ah,332.27,332.39
n,332.39,332.31
d,332.31,332.32
ah,332.49,332.55
b,332.55,332.62
ih,332.62,332.61
g,332.61,332.67
p,332.75,332.85
aa,332.85,332.86
r,332.86,332.89
t,332.89,332.9
ah,333.01,333.07
v,333.07,333.13
ih,333.13,333.22
t,333.22,333.26
ih,333.29,333.42
z,333.42,333.45
ah,333.52,333.59
b,333.59,333.59
aw,333.59,333.66
t,333.66,333.72
ah,333.88,333.96
n,333.96,333.97
d,333.97,333.97
er,333.97,334.03
s,334.03,334.03
t,334.03,334.12
ae,334.12,334.1
n,334.1,334.16
d,334.16,334.16
ih,334.16,334.2
ng,334.2,334.26
dh,334.559999,334.62
ah,334.62,334.69
k,334.69,334.83
aa,334.83,334.79
n,334.79,334.92
t,334.92,334.86
eh,334.86,335.03
k,335.03,334.97
s,334.97,335.04
t,335.04,335.05
hh,335.389999,335.45
w,335.45,335.49
ah,335.49,335.49
t,335.49,335.55
dh,335.67,335.72
ae,335.72,335.69
t,335.69,335.77
p,335.82,335.9
er,335.9,335.88
s,335.88,335.97
ah,335.97,335.91
n,335.91,336.03
z,336.03,336.07
t,336.16,336.25
ao,336.25,336.24
k,336.24,336.3
ih,336.3,336.28
ng,336.28,336.32
dh,336.94,337.03
ae,337.03,337.0
t,337.0,337.04
ao,337.16,337.28
l,337.28,337.27
s,337.27,337.38
ow,337.38,337.58
ae,337.98,338.13
d,338.13,338.06
z,338.06,338.16
t,338.309999,338.42
uw,338.42,338.68
dh,339.059999,339.2
iy,339.2,339.3
hh,339.299999,339.37
ow,339.37,339.37
l,339.37,339.53
ah,339.66,339.72
n,339.72,339.72
d,339.72,339.76
er,339.76,339.78
s,339.78,339.81
t,339.81,339.87
ae,339.87,339.89
n,339.89,339.9
d,339.9,339.95
ih,339.95,339.94
ng,339.94,340.03
w,340.32,340.35
ah,340.35,340.36
t,340.36,340.41
dh,340.440001,340.46
ae,340.46,340.47
t,340.47,340.52
p,340.539999,340.6
er,340.6,340.6
s,340.6,340.66
ah,340.66,340.64
n,340.64,340.72
ih,340.85,340.86
z,340.86,340.9
s,340.9,341.05
ey,341.05,341.01
ih,341.01,341.09
ng,341.09,341.22
s,341.709999,341.81
ow,341.81,341.88
f,341.879999,341.97
ao,341.97,341.91
r,341.91,341.92
ih,342.01,342.02
g,342.02,342.08
z,342.08,342.09
ae,342.09,342.18
m,342.18,342.16
p,342.16,342.25
ah,342.25,342.19
l,342.19,342.31
ih,342.59,342.71
f,342.71,342.8
y,342.8,342.86
uw,342.86,342.99
er,342.99,343.19
r,343.55,343.7
iy,343.7,343.62
d,343.62,343.71
ih,343.71,343.7
ng,343.7,343.77
dh,343.93,343.98
ah,343.98,344.04
w,344.04,344.19
er,344.19,344.17
d,344.17,344.28
ao,344.48,344.58
n,344.58,344.68
dh,344.68,344.73
ae,344.73,344.7
t,344.7,344.77
p,344.82,344.89
er,344.89,344.88
s,344.88,344.96
ah,344.96,344.92
n,344.92,345.0
z,345.0,345.01
l,345.11,345.23
ih,345.23,345.19
p,345.19,345.33
s,345.33,345.51
p,345.82,345.93
eh,345.93,346.01
r,346.01,346.23
ah,346.8,346.9
n,346.9,346.88
d,346.88,346.97
b,347.11,347.32
eh,347.32,347.23
r,347.23,347.42
hh,348.15,348.24
w,348.24,348.25
eh,348.25,348.29
n,348.29,348.35
y,348.45,348.47
uh,348.47,348.5
r,348.5,348.53
l,348.55,348.57
uh,348.57,348.61
k,348.61,348.6
ih,348.6,348.66
ng,348.66,348.67
ae,348.72,348.81
t,348.81,348.87
dh,348.87,348.9
ae,348.9,348.91
t,348.91,348.98
p,349.01,349.08
er,349.08,349.09
s,349.09,349.15
ah,349.15,349.15
n,349.15,349.21
z,349.21,349.27
l,349.42,349.58
ih,349.58,349.49
p,349.49,349.65
s,349.65,349.66
ih,349.8,349.88
t,349.88,349.93
l,349.96,350.11
uh,350.11,350.01
k,350.01,350.15
s,350.15,350.19
ih,350.26,350.34
g,350.34,350.38
z,350.38,350.42
ae,350.42,350.48
k,350.48,350.47
t,350.47,350.51
l,350.51,350.48
iy,350.48,350.49
dh,350.83,350.89
ah,350.89,350.96
s,350.96,351.07
ey,351.07,351.06
m,351.06,351.19
p,351.61,351.72
eh,351.72,351.79
r,351.79,351.97
ah,352.349999,352.46
n,352.46,352.46
d,352.46,352.47
b,352.599999,352.7
eh,352.7,352.71
r,352.71,352.86
b,353.45,353.51
ah,353.51,353.47
t,353.47,353.53
w,353.59,353.63
ah,353.63,353.67
t,353.67,353.73
d,353.8,353.89
ah,353.89,353.93
z,353.93,354.03
hh,354.13,354.18
eh,354.18,354.19
l,354.19,354.22
p,354.22,354.31
t,354.37,354.46
uw,354.46,354.55
k,354.55,354.66
l,354.66,354.6
eh,354.6,354.69
r,354.69,354.68
ah,354.68,354.73
f,354.73,354.78
ay,354.78,354.83
hh,355.009999,355.07
w,355.07,355.06
ah,355.06,355.11
t,355.11,355.17
dh,355.219999,355.26
ae,355.26,355.24
t,355.24,355.3
p,355.34,355.41
er,355.41,355.41
s,355.41,355.49
ah,355.49,355.46
n,355.46,355.5
ih,355.65,355.72
z,355.72,355.76
s,355.759999,355.91
ey,355.91,355.87
ih,355.87,355.96
ng,355.96,356.06
ih,356.179999,356.38
z,356.38,356.61
ih,356.71,356.86
f,356.86,356.96
y,356.96,357.02
uw,357.02,357.1
k,357.099999,357.13
ah,357.13,357.16
n,357.16,357.26
g,357.29,357.35
eh,357.35,357.35
t,357.35,357.38
ah,358.07,358.08
g,358.08,358.09
r,358.09,358.09
ae,358.09,358.1
s,358.1,358.1
p,358.1,358.11
ah,358.2,358.33
v,358.33,358.34
dh,358.51,358.62
iy,358.62,358.79
k,358.809999,358.9
aa,358.9,358.91
n,358.91,358.99
t,358.99,358.99
eh,358.99,359.1
k,359.1,359.09
s,359.09,359.16
t,359.16,359.22
ah,359.76,359.9
v,359.9,359.99
dh,360.039999,360.14
ae,360.14,360.11
t,360.11,360.2
k,360.440001,360.54
aa,360.54,360.49
n,360.49,360.55
v,360.55,360.57
er,360.57,360.59
s,360.59,360.68
ey,360.68,360.68
sh,360.68,360.76
ah,360.76,360.74
n,360.74,360.83
s,361.33,361.41
ow,361.41,361.44
f,361.44,361.51
ao,361.51,361.49
r,361.49,361.5
ih,361.57,361.58
g,361.58,361.63
z,361.63,361.64
ae,361.64,361.71
m,361.71,361.72
p,361.72,361.78
ah,361.78,361.75
l,361.75,361.83
ih,362.3,362.42
f,362.42,362.49
y,362.49,362.53
uh,362.53,362.5
r,362.5,362.54
t,362.58,362.65
ao,362.65,362.65
k,362.65,362.72
ih,362.72,362.69
ng,362.69,362.74
t,362.88,362.96
uw,362.96,363.15
ey,363.21,363.54
p,363.61,363.74
aa,363.74,363.67
r,363.67,363.83
k,363.83,363.94
r,364.0,364.07
ey,364.07,364.07
n,364.07,364.15
jh,364.15,364.14
er,364.14,364.3
dh,364.76,364.87
eh,364.87,364.84
n,364.84,364.99
y,365.15,365.25
uw,365.25,365.32
hh,365.32,365.38
ae,365.38,365.39
v,365.39,365.45
ah,365.51,365.54
g,365.54,365.6
uh,365.6,365.6
d,365.6,365.66
ch,365.72,365.83
ae,365.83,365.75
n,365.75,365.9
s,365.9,365.92
dh,365.95,366.02
ae,366.02,365.98
t,365.98,366.03
dh,366.1,366.13
ae,366.13,366.15
t,366.15,366.22
p,366.25,366.36
aa,366.36,366.3
r,366.3,366.44
k,366.44,366.53
r,366.58,366.63
ey,366.63,366.64
n,366.64,366.7
jh,366.7,366.7
er,366.7,366.79
ih,366.93,366.99
z,366.99,367.03
t,367.03,367.12
ao,367.12,367.1
k,367.1,367.18
ih,367.18,367.16
ng,367.16,367.2
ah,367.35,367.4
b,367.4,367.41
aw,367.41,367.45
t,367.45,367.55
ah,367.83,367.91
b,367.92,368.03
eh,368.03,367.93
r,367.93,367.94
ih,368.3,368.39
n,368.39,368.46
ah,368.46,368.5
f,368.5,368.6
ao,368.6,368.57
r,368.57,368.67
ah,368.67,368.62
s,368.62,368.73
t,368.73,368.82
s,369.08,369.12
ow,369.12,369.16
y,369.16,369.17
uw,369.17,369.24
k,369.24,369.28
ah,369.28,369.28
n,369.28,369.34
s,369.38,369.45
iy,369.45,369.51
dh,369.51,369.55
ah,369.55,369.6
w,369.599999,369.67
er,369.67,369.64
d,369.64,369.76
b,370.05,370.15
eh,370.15,370.16
r,370.16,370.3
b,370.82,370.89
ah,370.89,370.87
t,370.87,370.94
m,371.01,371.07
ey,371.07,371.1
b,371.1,371.15
iy,371.15,371.29
t,371.429999,371.49
ao,371.49,371.51
k,371.51,371.55
ih,371.55,371.57
ng,371.57,371.63
ah,371.99,372.07
p,372.07,372.15
er,372.15,372.15
s,372.15,372.24
ah,372.24,372.2
n,372.2,372.27
hh,372.44,372.52
uw,372.52,372.75
ih,372.9,373.0
n,373.0,372.98
jh,372.98,373.1
oy,373.1,373.2
z,373.2,373.28
g,373.82,373.96
aa,373.96,373.9
r,373.9,374.01
d,374.01,373.97
n,373.97,374.07
ih,374.07,374.03
ng,374.03,374.18
g,374.679999,374.82
r,374.82,374.75
ow,374.75,374.89
ih,374.89,374.81
ng,374.81,374.94
v,375.16,375.22
eh,375.22,375.26
jh,375.26,375.23
t,375.23,375.33
ah,375.33,375.3
b,375.3,375.36
ah,375.36,375.37
l,375.37,375.42
z,375.42,375.49
ah,375.759999,375.86
n,375.86,375.81
d,375.81,375.88
hh,375.98,376.06
ae,376.06,376.11
z,376.11,376.19
s,376.309999,376.38
ah,376.38,376.38
m,376.38,376.6
f,376.709999,376.8
r,376.8,376.77
uw,376.77,376.85
t,376.85,376.82
s,376.82,376.98
ih,377.129999,377.22
n,377.22,377.27
dh,377.27,377.31
ah,377.31,377.37
g,377.369999,377.45
aa,377.45,377.44
r,377.44,377.51
d,377.51,377.46
ah,377.46,377.61
n,377.61,377.73
ah,377.98,378.06
n,378.06,378.01
d,378.01,378.06
aa,378.15,378.26
b,378.26,378.16
v,378.16,378.31
iy,378.31,378.19
ah,378.19,378.34
s,378.34,378.22
l,378.22,378.37
iy,378.37,378.46
dh,378.56,378.62
eh,378.62,378.65
n,378.65,378.69
y,378.75,378.78
uw,378.78,378.84
k,378.84,378.87
ah,378.87,378.88
n,378.88,378.93
th,378.96,379.03
ih,379.03,378.99
ng,378.99,379.09
k,379.09,379.14
m,379.21,379.33
ey,379.33,379.29
b,379.29,379.4
iy,379.4,379.53
t,379.63,379.7
ao,379.7,379.73
k,379.73,379.74
ih,379.74,379.79
ng,379.79,379.81
ah,379.92,379.98
b,379.98,379.95
aw,379.95,380.04
t,380.04,380.13
p,380.24,380.34
eh,380.34,380.39
r,380.39,380.45
z,380.45,380.72
ae,380.94,380.98
n,380.98,380.99
d,380.99,381.01
dh,381.05,381.06
eh,381.06,381.1
n,381.1,381.15
y,381.16,381.2
uw,381.2,381.27
k,381.31,381.4
ah,381.4,381.36
n,381.36,381.53
eh,381.53,381.45
k,381.45,381.56
t,381.56,381.66
dh,381.86,381.95
ah,381.95,382.01
d,382.01,382.09
aa,382.09,382.1
t,382.1,382.16
s,382.16,382.22
dh,382.37,382.49
ae,382.49,382.44
t,382.44,382.51
w,382.63,382.73
ey,382.73,382.86
n,383.54,383.68
aw,383.68,383.76
y,383.76,383.88
eh,383.88,383.85
s,383.85,383.91
ih,384.52,384.6
t,384.6,384.59
s,384.59,384.65
p,384.78,384.89
aa,384.89,384.9
s,384.9,384.97
ah,384.97,384.98
b,384.98,384.98
ah,384.98,385.05
l,385.05,385.19
dh,385.39,385.47
ae,385.47,385.5
t,385.5,385.68
dh,385.96,386.06
eh,386.06,386.01
r,386.01,386.09
k,386.19,386.27
uh,386.27,386.26
d,386.26,386.3
b,386.389999,386.49
iy,386.49,386.6
ey,386.67,386.86
b,386.87,387.0
eh,387.0,386.88
r,386.88,386.89
ih,387.34,387.46
n,387.46,387.6
ey,387.62,387.88
f,387.889999,388.08
r,388.08,387.96
uw,387.96,388.14
t,388.14,388.19
g,388.9,388.97
aa,388.97,389.02
r,389.02,389.01
d,389.01,389.14
ah,389.14,389.1
n,389.1,389.21
y,389.49,389.64
eh,389.64,389.58
s,389.58,389.68
dh,389.849999,389.93
ae,389.93,389.92
t,389.92,390.01
k,390.09,390.19
uh,390.19,390.15
d,390.15,390.25
b,390.37,390.49
iy,390.49,390.61
ih,390.61,390.68
t,390.68,390.77
b,390.94,391.04
ah,391.04,391.03
t,391.03,391.04
ay,391.139999,391.18
th,391.179999,391.27
ih,391.27,391.21
ng,391.21,391.35
k,391.35,391.41
ih,391.45,391.51
f,391.51,391.6
y,391.599999,391.67
uw,391.67,391.73
g,391.73,391.79
eh,391.79,391.81
t,391.81,391.96
ah,392.52000000000004,392.53
g,392.53000000000003,392.54
r,392.54,392.54
ae,392.54,392.62
s,392.62,392.55
p,392.55,392.56
ah,392.82,392.9
v,392.9,392.97
dh,392.969999,392.98
ah,392.98,393.05
k,393.059999,393.12
aa,393.12,393.13
n,393.13,393.19
t,393.19,393.19
eh,393.19,393.25
k,393.25,393.28
s,393.28,393.27
t,393.27,393.3
ah,393.549999,393.69
v,393.69,393.83
dh,394.049999,394.12
ae,394.12,394.11
t,394.11,394.15
k,394.25,394.32
aa,394.32,394.3
n,394.3,394.33
v,394.33,394.37
er,394.37,394.36
